1
		Rooms	Brand	Parent Company	Property Name	Market Name	Submarket Name	Hotel Class	Scale	Operation Type	Constr Status	Operational Status	Expansion Rooms	Expansion Status Month	Expansion Status Year	Expansion Status	Property Address	City	State	Zip	Year Built	Year Renovated	Hotel Open Date	Data Participation	Mtg Rooms	Total Mtg Space	Max Contig Mtg Space	Hotel Location Type	Secondary Type	All-Inclusive	All-Suites	Primary Corridors	Number Of Stories	Number Of Parking Spaces	Parking Spaces/Room	FEMA Map Date	FEMA Map Identifier	FIRM ID	FIRM Panel Number	In SFHA	Floodplain Area	Owner Name	Owner Phone	Owner Contact	Owner Address	Owner City State Zip	Property Location	True Owner Address	True Owner City State Zip	True Owner Name	True Owner Contact	True Owner Phone
		157	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Houston Medical Center	Houston, TX	Houston Medical Ctr/NRG Stadium	Upscale	Upscale	Franchise	Existing	Open					6840 Almeda Rd	Houston	TX	77030	2021		09/23/2021	Monthly & Daily	5	3,350	2,925	Urban	Hotel	No	No	Interior	10			06/18/2007	48201C0860L	48201C	0860L	Yes	100-year Floodplain	American Liberty Hospitality	7139775556		2901 Wilcrest Dr Suite # 120	Houston, TX 77042-3399		2901 Wilcrest Dr Suite # 120	Houston, TX 77042-3399	American Liberty Hospitality		7139775556
		232	DoubleTree by Hilton	Hilton Worldwide	DoubleTree by Hilton Fort Worth South Hotel & Conference Center	Fort Worth/Arlington, TX	Fort Worth South	Upscale	Upscale	Franchise	Existing	Open					100 E Altamesa Blvd	Fort Worth	TX	76134	1985	2023	01/01/1985	Monthly & Daily	17	14,000	8,178	Suburban	Hotel	No	No	Interior	6	495	2.134	03/21/2019	48439C0315L	48439C	0315L	No	100-year and 500-year Floodplain	Abdul Hassanally	9723818400	Abdul Hassanally	5103 Spyglass Dr	Dallas, TX 75287-7556		5103 Spyglass Dr	Dallas, TX 75287-7556	Abdul Hassanally	Abdul Hassanally	9723818400
		117	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Austin Central	Austin, TX	Austin US-290/I-35 Area	Upscale	Upscale	Franchise	Existing	Open					860 E Anderson Ln	Austin	TX	78752-1604	2025		04/07/2025	Monthly & Daily	1	1,785	1,785	Suburban	Hotel	No	No	Interior	5	61	0.521	01/06/2016	48453C0455J	48453C	0455J	No	100-year and 500-year Floodplain	Lodgic Hospitality	2815168226	Amit Patel	601 W Texas Ave	Webster, TX 77598		601 W Texas Ave	Webster, TX 77598	Lodgic Hospitality	Amit Patel	2815168226
		96	Hyatt Place	Hyatt Corporation	Hyatt Place Waco - South	Texas Central	Waco	Upscale	Upscale	Franchise	Existing	Open					5400 Bagby Ave	Waco	TX	76711	2019		12/01/2019	Monthly & Daily	1	701	701	Urban	Hotel	No	No	Interior	5	89	0.927	12/20/2019	48309C0368D	48309C	0368D	No	100-year and 500-year Floodplain	Moonlight Hospitality Group Lp	9723358042		2297 Middle Town Ct	Allen, TX 75013		2297 Middle Town Ct	Allen, TX 75013	Moonlight Hospitality Group Lp		9723358042
		94	Homewood Suites by Hilton	Hilton Worldwide	Homewood Suites by Hilton San Marcos	Austin, TX	San Marcos/Austin Surrounding	Upscale	Upscale	Franchise	Existing	Open					451 Barnes Dr	San Marcos	TX	78666-5939	2018		04/12/2018	Monthly & Daily	1	600	600	Interstate	Hotel	No	Yes	Interior	4	100	1.064	12/30/2020	48055C0200F	48209C	0200F	Yes	100-year Floodplain	Dilip Malkani	9257362017	Dilip Malkani	3891 Deer Trail Ln	Danville, CA 94506		3891 Deer Trail Ln	Danville, CA 94506	Dilip Malkani	Dilip Malkani	9257362017
		450	Hyatt Regency	Hyatt Corporation	Hyatt Regency Austin	Austin, TX	Austin CBD	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					208 Barton Springs Rd	Austin	TX	78704	1980	2025	03/01/1982	Monthly & Daily	27	33,659	14,136	Urban	Hotel	No	No	Interior		128	0.284	01/22/2020	48453C0465K	48453C	0465K	Yes	100-year Floodplain	Host Hotels & Resorts, Inc.	2407441000	James Risoleo	4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814		4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814	Host Hotels & Resorts, Inc.	James Risoleo	2407441000
		92	Homewood Suites by Hilton	Hilton Worldwide	Homewood Suites by Hilton Houston Clear Lake NASA	Houston, TX	Houston Hobby Airport/NASA	Upscale	Upscale	Franchise	Existing	Open					401 Bay Area Blvd	Houston	TX	77058	1995	2017	09/22/1995	Monthly & Daily	1	306	306	Suburban	Hotel	No	Yes	Interior	3	96	1.043	08/15/2019	48167C0017G	48201C	0017G	No	100-year and 500-year Floodplain	Pintu & Vrunda Patel	8177579757	Pintu Patel	221 Madison Crossing Dr	Sulphur, LA 70665		221 Madison Crossing Dr	Sulphur, LA 70665	Pintu & Vrunda Patel	Pintu Patel	8177579757
		91	Tru by Hilton	Hilton Worldwide	Tru by Hilton Austin Airport	Austin, TX	South Austin/Airport	Midscale	Midscale	Franchise	Existing	Open					7900 E Ben White Blvd	Austin	TX	78741-6839	2020		01/31/2020	Monthly & Daily				Airport	Hotel	No	No	Interior	5	70	0.769	01/22/2020	48453C0605K	48453C	0605K	No	100-year and 500-year Floodplain	Jignesh Patel	5126190122	Jignesh Patel	3929 Venezia Vw	Leander, TX 78641		3929 Venezia Vw	Leander, TX 78641	Jignesh Patel	Jignesh Patel	5126190122
		267	Curio Collection by Hilton	Hilton Worldwide	Blossom Hotel Houston, Curio Collection by Hilton	Houston, TX	Houston Medical Ctr/NRG Stadium	Upper Upscale	Upper Upscale	Franchise	Existing	Open					7118 Bertner Ave	Houston	TX	77030	2021		09/01/2021	Monthly & Daily	10	8,192	2,922	Urban	Hotel	No	No	Interior	16	289	1.082	06/18/2007	48201C0860L	48201C	0860L	No	500-year Floodplain	Zhejiang Blossom Tourism Group								Zhejiang Blossom Tourism Group
		1000	Marriott	Marriott International	San Antonio Marriott Rivercenter on the River Walk	San Antonio, TX	San Antonio CBD	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					101 Bowie St	San Antonio	TX	78205	1988	2020	10/11/1988	Monthly	45	70,136	41,600	Urban	Hotel	No	No	Interior	38	500	0.500	09/29/2010	48029C0415G	48029C	0415G	No	100-year and 500-year Floodplain	Host Hotels & Resorts, Inc.	2407441000		4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814		4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814	Host Hotels & Resorts, Inc.		2407441000
